

685	queria sair	00:30:48.566	00:30:49.299	00:00:00.733	
686	a receber meus direito tudo que	00:30:49.570	00:30:52.026	00:00:02.456	
687	meus direito está na mão no ah do advogado ainda	00:30:52.451	00:30:55.168	00:00:02.717	




701	não	00:31:26.254	00:31:26.449	00:00:00.195	
702	não queria	00:31:27.179	00:31:27.813	00:00:00.634	
703	mesmo de verdade não queria	00:31:28.550	00:31:30.236	00:00:01.686	


704	ah eu queria uma profissão boa né? mas	00:31:37.863	00:31:40.872	00:00:03.009	
705	não tem como né porque eu não sei ler	00:31:41.692	00:31:44.089	00:00:02.397	
706	eu se/	00:31:45.074	00:31:45.680	00:00:00.606	
707	ai eu	00:31:50.246	00:31:50.794	00:00:00.548	
708	assim eu queria	00:31:51.537	00:31:53.076	00:00:01.539	
709	assim ser	00:31:53.668	00:31:54.785	00:00:01.117	
710	ter uma	00:31:57.059	00:31:57.885	00:00:00.826	
711	empresa pré assim sabe?	00:31:58.213	00:32:00.135	00:00:01.922	




718	de primeiro a gente não tinha muitos sonhos	00:32:12.770	00:32:15.094	00:00:02.324	
719	ah	00:32:15.964	00:32:16.190	00:00:00.226	
720	agora tem né?	00:32:16.487	00:32:17.526	00:00:01.039	
721	por causa que a gente morava no norte não tinha muitos sonhos	00:32:18.703	00:32:21.411	00:00:02.708	
722	pra	00:32:21.894	00:32:22.260	00:00:00.366	
723	o meu sonho que eu queria sabe?	00:32:23.025	00:32:24.765	00:00:01.740	
724	era três coisa	00:32:24.943	00:32:25.736	00:00:00.793	
725	era saber ler	00:32:26.908	00:32:28.274	00:00:01.366	
726	mas eu acho que eh um pouco falta de interesse mesmo	00:32:31.060	00:32:34.283	00:00:03.223	
727	que esse ano que vem se deus quiser eu vou voltar a estudar	00:32:35.631	00:32:38.246	00:00:02.615	
728	e	00:32:39.596	00:32:40.735	00:00:01.139	
729	ai	00:32:41.390	00:32:41.833	00:00:00.443	
730	e saber dirigir	00:32:46.855	00:32:48.596	00:00:01.741	
731	e minha mãe e meu pai se Deus não tivesse me levado era os três sonho que eu queria só isso	00:32:49.995	00:32:54.808	00:00:04.813	




743	ah eu ajudava tanta gente	00:33:27.941	00:33:29.801	00:00:01.860	
744	pri/ eh	00:33:32.420	00:33:32.840	00:00:00.420	
745	é	00:33:33.091	00:33:33.333	00:00:00.242	
746	primeiro eu ia	00:33:33.518	00:33:35.146	00:00:01.628	
747	que nem eu falei	00:33:36.087	00:33:36.882	00:00:00.795	
748	com meu esposo primeiro eu ia fazer sabe o quê?	00:33:37.019	00:33:38.959	00:00:01.940	
749	ia lá no norte	00:33:39.671	00:33:40.718	00:00:01.047	
750	ajudava umas família minha que está precisando bastante	00:33:41.233	00:33:44.368	00:00:03.135	
751	tem uma tia lá minha que	00:33:45.087	00:33:46.447	00:00:01.360	
752	tadinha que está passando até fome	00:33:47.179	00:33:48.828	00:00:01.649	
753	é	00:33:49.615	00:33:49.863	00:00:00.248	
754	daí minha irmã que está mandando um dinheirinho pra ela	00:33:51.690	00:33:53.967	00:00:02.277	
755	é porque eu estou parada agora eu não posso ajudar né?	00:33:55.296	00:33:58.074	00:00:02.778	
756	primeiro eu ia no norte	00:33:58.559	00:33:59.812	00:00:01.253	
757	não ia nem resolver nada meu agora	00:34:00.336	00:34:02.066	00:00:01.730	
758	que graças a Deus	00:34:02.893	00:34:04.024	00:00:01.131	
759	eu estou de baixo de um	00:34:05.669	00:34:07.131	00:00:01.462	
760	da minha casa né e a casa dela está quase caindo lá	00:34:08.654	00:34:11.574	00:00:02.920	
761	ia reformar a casa dela	00:34:11.719	00:34:13.114	00:00:01.395	
762	dar um dinheirinho pra ela sobreviver	00:34:13.659	00:34:15.696	00:00:02.037	
763	ia ajudar meus tios	00:34:16.452	00:34:17.476	00:00:01.024	
764	daí quando eu	00:34:18.040	00:34:18.853	00:00:00.813	
765	viesse pra cá eu ia ajudar as minhas irmã	00:34:19.908	00:34:21.516	00:00:01.608	
766	assim	00:34:22.123	00:34:22.545	00:00:00.422	
767	terminar de reformar a casa delas tudo	00:34:22.725	00:34:24.998	00:00:02.273	
768	e as pessoa que eu gostasse	00:34:25.386	00:34:26.879	00:00:01.493	
769	eu ajudava também	00:34:27.793	00:34:28.879	00:00:01.086	
770	é	00:34:32.813	00:34:33.203	00:00:00.390	
771	daí depois	00:34:33.379	00:34:34.416	00:00:01.037	
772	eu ia	00:34:36.456	00:34:37.485	00:00:01.029	
773	aproveitar minha vida	00:34:38.348	00:34:39.895	00:00:01.547	
774	não ia nem terminar a casa direito ia comprar uma casa na beira da praia	00:34:40.496	00:34:44.286	00:00:03.790	


775	filha	00:34:44.396	00:34:44.775	00:00:00.379	
776	oxe não é não?	00:34:45.723	00:34:46.659	00:00:00.936	
777	ia curtir minha vida	00:34:47.031	00:34:48.452	00:00:01.421	
778	não estiver trabalhando ah não	00:34:48.904	00:34:51.163	00:00:02.259	
779	ah nada eu não ia trabalhar pra ninguém não só ia pra beira da praia tomar água de coco	00:34:52.402	00:34:56.632	00:00:04.230	
780	já sofri demais	00:34:57.446	00:34:58.826	00:00:01.380	
781	estou fora estou ah	00:34:59.628	00:35:00.964	00:00:01.336	
782	chega de sofrer	00:35:01.818	00:35:02.940	00:00:01.122	






795	não tem	00:35:39.462	00:35:39.925	00:00:00.463	
796	pra gente que assim	00:35:40.872	00:35:42.425	00:00:01.553	
797	que tem pros ricos	00:35:43.240	00:35:44.656	00:00:01.416	
798	porque os pobre não tem	00:35:45.320	00:35:46.468	00:00:01.148	
799	o lazer dos pobre é sabe o quê?	00:35:46.922	00:35:48.605	00:00:01.683	
800	levar os filho pra creche	00:35:48.848	00:35:50.235	00:00:01.387	
801	e pra os postinho	00:35:52.303	00:35:53.571	00:00:01.268	
802	porque eu não saio pra canto nenhum	00:35:54.247	00:35:55.691	00:00:01.444	
803	ah o que eu saio assim de vez em quando pra casa das minhas irmã	00:35:57.252	00:36:00.762	00:00:03.510	
804	ou de vez em quando ir pro mercado fazer compra e vim pra casa só isso	00:36:02.319	00:36:07.357	00:00:05.038	
805	é o lazer por isso que eu falei se eu	00:36:07.637	00:36:09.224	00:00:01.587	


806	ganhasse na mega sena eu ia é curtir minha vida porque eu não estou curtindo nada	00:36:09.710	00:36:13.294	00:00:03.584	
807	bastante filha ia pro norte uma vez no ano	00:36:14.982	00:36:17.563	00:00:02.581	
808	ia deixar um pouco de dinheiro pra correr juro né loura?	00:36:19.346	00:36:21.806	00:00:02.460	


838	não vo/ não	00:37:41.569	00:37:42.721	00:00:01.152	
839	não	00:37:46.201	00:37:46.613	00:00:00.412	
840	não teve um	00:37:46.787	00:37:47.940	00:00:01.153	
841	um an/ teve um ano que eu viajei mas pra resolver um negócio lá em	00:37:48.651	00:37:53.124	00:00:04.473	
842	em União sabe?	00:37:53.938	00:37:55.000	00:00:01.062	
843	Alagoas	00:37:57.266	00:37:57.931	00:00:00.665	
844	é	00:37:58.823	00:37:59.098	00:00:00.275	
845	pra Santos	00:38:03.191	00:38:04.150	00:00:00.959	
846	fui pra praia	00:38:06.137	00:38:06.866	00:00:00.729	



847	gosto	00:38:13.724	00:38:14.192	00:00:00.468	
848	ah é por causa que minhas irmã mora tudo aqui	00:38:16.148	00:38:18.444	00:00:02.296	
849	minha mãe	00:38:20.035	00:38:20.845	00:00:00.810	
850	que nem eu falei minha mãe faleceu e meu pai	00:38:21.795	00:38:24.173	00:00:02.378	
851	vive morando aqui no parque das flores	00:38:26.068	00:38:28.520	00:00:02.452	
852	né?	00:38:29.001	00:38:29.281	00:00:00.280	
853	foi enterrada aí no parque das flores daí vou fazer o quê nem tem	00:38:30.171	00:38:33.264	00:00:03.093	
854	nem tem mãe lá em	00:38:33.659	00:38:35.013	00:00:01.354	
855	em União nem irmã nem nada	00:38:35.542	00:38:37.195	00:00:01.653	
856	daí não adianta assim eu sinto saudade das minhas amiga que eu tinha bastante	00:38:37.953	00:38:42.167	00:00:04.214	
857	mas aqui eu tenho bastante também sabe que eu faço	00:38:42.644	00:38:45.204	00:00:02.560	
858	eu sou/ eu faço amizade	00:38:45.788	00:38:47.081	00:00:01.293	
859	fácil	00:38:48.274	00:38:48.648	00:00:00.374	
860	ai ai	00:38:50.517	00:38:51.116	00:00:00.599	



966	por isso que eu estou morando aqui	00:44:03.501	00:44:04.556	00:00:01.055	
967	ai eu não gosto daqui porque aqui é tudo difícil pra mim	00:44:08.618	00:44:12.246	00:00:03.628	
968	tudo difícil aqui pra gente morar aqui a gente tem que ter um carro	00:44:13.736	00:44:17.595	00:00:03.859	
969	porque as coisa é tudo distante	00:44:18.204	00:44:20.110	00:00:01.906	
970	a gente que depende de busão filha é difícil	00:44:21.647	00:44:24.013	00:00:02.366	
971	tem hora que a gente pega o busão	00:44:25.034	00:44:26.640	00:00:01.606	
972	que tem hora que dá até desgosto de andar dentro do busão	00:44:26.812	00:44:29.611	00:00:02.799	
973	porque tem gente que vem	00:44:30.286	00:44:31.921	00:00:01.635	
974	cheiro de cecê	00:44:32.946	00:44:34.080	00:00:01.134	
975	ontem eu peguei um busão filha que eu tive que por a cabeça pro lado de fora	00:44:35.592	00:44:39.488	00:00:03.896	
976	não	00:44:40.867	00:44:41.205	00:00:00.338	
977	não é me orgulhando gente	00:44:41.663	00:44:43.207	00:00:01.544	
978	porque eu sou humilde sabe?	00:44:43.451	00:44:45.352	00:00:01.901	
979	mas fica difícil	00:44:46.297	00:44:47.321	00:00:01.024	


1017	filha da minha patroa falava mesmo assim	00:47:10.922	00:47:12.718	00:00:01.796	
1018	teve um dia que ela passou o whatapp "{A.} sobe aqui na minha sala"	00:47:14.741	00:47:17.865	00:00:03.124	
1019	eu digo "é o que {R.}?"	00:47:19.118	00:47:20.302	00:00:01.184	
1020	"ainda bem que você alegra a fábrica"	00:47:21.232	00:47:23.815	00:00:02.583	
1021	"porque só dá você na fábrica" porque minha risada filha	00:47:24.348	00:47:27.300	00:00:02.952	
1022	meu Deus	00:47:28.053	00:47:28.746	00:00:00.693	
1023	aham	00:47:30.506	00:47:30.911	00:00:00.405	
1024	e todo mundo começava a rir	00:47:31.485	00:47:32.711	00:00:01.226	
1025	eh	00:47:32.873	00:47:33.292	00:00:00.419	
1026	uma que é	00:47:33.427	00:47:34.027	00:00:00.600	
1027	a minha gaitada contagiava todo mundo lá da firma todo mundo começava a rir	00:47:35.922	00:47:40.435	00:00:04.513	



1135	é agora me pegou	00:52:39.185	00:52:40.277	00:00:01.092	
1136	não	00:52:43.873	00:52:44.172	00:00:00.299	
1137	só sei mi/ eh alagoano	00:52:46.267	00:52:47.977	00:00:01.710	
1138	tem bastante hein?	00:52:52.669	00:52:53.711	00:00:01.042	
1139	tem bastante	00:52:53.912	00:52:54.832	00:00:00.920	
1140	ai	00:52:58.948	00:52:59.260	00:00:00.312	
1141	vem mais do nordeste viu?	00:52:59.903	00:53:01.411	00:00:01.508	
1142	é	00:53:01.741	00:53:01.936	00:00:00.195	
1143	de Alagoas	00:53:02.315	00:53:03.306	00:00:00.991	
1144	desses	00:53:04.725	00:53:05.153	00:00:00.428	
1145	é do nordeste mesmo	00:53:05.581	00:53:06.825	00:00:01.244	
1146	é	00:53:07.426	00:53:07.748	00:00:00.322	
1147	porque	00:53:08.443	00:53:08.928	00:00:00.485	
1148	eh	00:53:09.262	00:53:09.724	00:00:00.462	
1149	fica difícil lá pra eles	00:53:10.118	00:53:11.791	00:00:01.673	
1150	porque lá está difícil viu?	00:53:13.043	00:53:14.501	00:00:01.458	
1151	porque teve uma cheia lá que deu acabou tudo	00:53:15.018	00:53:17.801	00:00:02.783	
1152	a o as usina de cana	00:53:18.060	00:53:19.778	00:00:01.718	
1153	aonde eles sobreviviam	00:53:20.238	00:53:21.711	00:00:01.473	
1154	acabou tudo	00:53:22.296	00:53:23.149	00:00:00.853	
1155	tudo tudo mesmo	00:53:23.662	00:53:24.610	00:00:00.948	
1156	daí a maioria está vindo pra São Paulo fazer a vida deles pra cá né?	00:53:25.861	00:53:30.332	00:00:04.471	
1157	daí fica difícil lá minha	00:53:31.600	00:53:33.695	00:00:02.095	
1158	a mulher do meu tio mesmo falou que	00:53:34.118	00:53:35.954	00:00:01.836	
1159	está esperando sair o aposento dela pra vir pra cá	00:53:36.419	00:53:39.183	00:00:02.764	
1160	está difícil lá viu	00:53:39.363	00:53:40.506	00:00:01.143	
1161	difícil	00:53:41.399	00:53:42.047	00:00:00.648	
1162	passando necessidade filha	00:53:42.692	00:53:44.211	00:00:01.519	
1163	olha eu fui pra lá	00:53:45.309	00:53:46.509	00:00:01.200	
1164	viajei pra lá	00:53:47.885	00:53:48.808	00:00:00.923	
1165	pra casa do meu tio	00:53:49.419	00:53:50.586	00:00:01.167	
1166	filha eu só fui gastar	00:53:51.977	00:53:53.251	00:00:01.274	
1167	sem mentira nenhuma eu fui batizar	00:53:54.595	00:53:56.876	00:00:02.281	
1168	meus afilhado lá	00:53:57.090	00:53:58.236	00:00:01.146	
1169	o meu menino	00:53:58.792	00:53:59.658	00:00:00.866	
1170	gastei sem mentira nenhuma não estou mentindo dez mil	00:54:01.733	00:54:04.580	00:00:02.847	
1171	foi o caso que	00:54:05.579	00:54:06.760	00:00:01.181	
1172	só de passagem foi cinco passagem	00:54:07.334	00:54:09.142	00:00:01.808	
1173	é	00:54:10.954	00:54:11.170	00:00:00.216	
1174	cinco passagem	00:54:11.897	00:54:12.833	00:00:00.936	
1175	cheguei lá minha família	00:54:13.221	00:54:15.231	00:00:02.010	
1176	não tinha as condição	00:54:15.731	00:54:17.007	00:00:01.276	
1177	tive que fazer compra	00:54:18.635	00:54:20.177	00:00:01.542	
1178	fui comprar pra casa da minha tia do meu tio do meu outro tio	00:54:20.459	00:54:23.563	00:00:03.104	
1179	pronto o dinheiro vai embora	00:54:24.092	00:54:25.379	00:00:01.287	
1180	daí teve uns batismo	00:54:25.694	00:54:26.999	00:00:01.305	
1181	pra comprar a roupa de batizado tudo	00:54:27.971	00:54:30.011	00:00:02.040	
1182	daí foi	00:54:30.560	00:54:31.240	00:00:00.680	
1183	o dinheiro filha nós somou na caneta	00:54:31.615	00:54:33.921	00:00:02.306	
1184	deu muita coisa	00:54:35.321	00:54:36.396	00:00:01.075	
1185	porque	00:54:37.013	00:54:37.994	00:00:00.981	
1186	olha tira um um um dinheiro de um canto	00:54:38.495	00:54:40.984	00:00:02.489	
1187	pra outro daí	00:54:41.420	00:54:42.418	00:00:00.998	
1188	minhas afilhada	00:54:43.174	00:54:44.137	00:00:00.963	
1189	num era di/ difícil a gente ver né	00:54:44.752	00:54:47.368	00:00:02.616	
1190	daí cheguei lá levei elas pra comprar em roupinha	00:54:47.802	00:54:50.556	00:00:02.754	
1191	e ficaram tudo alegre	00:54:51.324	00:54:52.573	00:00:01.249	
1192	porque você sabe os povo do norte está difícil	00:54:52.789	00:54:54.764	00:00:01.975	
1193	comprar roupa	00:54:55.298	00:54:56.029	00:00:00.731	
1194	daí	00:54:57.274	00:54:57.677	00:00:00.403	
1195	eu fui	00:54:58.150	00:54:58.891	00:00:00.741	
1196	gastei esse dinheiro filha	00:54:59.398	00:55:00.713	00:00:01.315	
1197	daí nunca mais eu fui	00:55:01.469	00:55:02.429	00:00:00.960	
1198	não minto eu fui	00:55:02.736	00:55:03.800	00:00:01.064	
1199	fui de avião que eu fui resolver uns negócio lá	00:55:04.899	00:55:07.422	00:00:02.523	
1200	daí	00:55:07.793	00:55:08.186	00:00:00.393	
